"","Subject","AgeGroup","Phase","Item_ID","prime_target","PrimeType","TargetSlide.ACC","Sex","Procedure.Block.","Trial","picture1","picture2","PracticeSlide.ACC","PracticeSlide.CRESP","richtig","Sortiernummer","TargetSlide.CRESP","testpic1","testpic2","text"
"13",1,"6",1,18,2,1,1,1,"test",1,"","",NA,"","{+}",1,"{+}","bilder/Witch splashing Woman.bmp","bilder/Woman splashing Witch.bmp","Wo ist die Hexe, die die Frau bespritzt?"
"14",1,"6",1,7,2,1,0,1,"test",2,"","",NA,"","4",2,"4","bilder/21b.bmp","bilder/21a.bmp","Wo ist die Königin, die das Kind kämmt?"
"15",1,"6",1,1003,10,1,1,1,"test",3,"","",NA,"","4",3,"4","bilder/cat chasing cat2.bmp","bilder/cat chasing cat.bmp","Wo jagt der Hund die Katze?"
"16",1,"6",1,9,2,1,0,1,"test",4,"","",NA,"","{+}",4,"{+}","bilder/11a.bmp","bilder/11b.bmp","Wo ist das Mädchen, das die Sängerin küsst?"
"17",1,"6",1,10,2,1,0,1,"test",5,"","",NA,"","4",5,"4","bilder/14b.bmp","bilder/14a.bmp","Wo ist die Fotografin, die die Ärztin schubst?"
"18",1,"6",1,1012,10,1,1,1,"test",6,"","",NA,"","{+}",6,"{+}","bilder/man combing boy2.bmp","bilder/man combing boy.bmp","Wo kämmt der Mann den Jungen?"
"19",1,"6",1,1004,10,1,1,1,"test",7,"","",NA,"","4",7,"4","bilder/chef carrying cake.bmp","bilder/chef carrying cake2.bmp","Wo ist der Koch mit dem Kuchen?"
"20",1,"6",1,1,2,1,0,1,"test",8,"","",NA,"","{+}",8,"{+}","bilder/15a.bmp","bilder/15b.bmp","Wo ist die Krankenschwester, die die Ballerina umarmt?"
"21",1,"6",1,11,2,1,0,1,"test",9,"","",NA,"","4",9,"4","bilder/30b.bmp","bilder/30a.bmp","Wo ist die Malerin, die die Großmutter weckt?"
"22",1,"6",1,1006,10,1,1,1,"test",10,"","",NA,"","{+}",10,"{+}","bilder/girl combing hair2.bmp","bilder/girl combing hair.bmp","Wo kämmt sich das Mädchen die Haare"
"23",1,"6",1,21,2,1,0,1,"test",11,"","",NA,"","4",11,"4","bilder/Girl pushing Woman.bmp","bilder/Woman pushing Girl.bmp","Wo ist die Frau, die das Mädchen schubst"
"24",1,"6",1,27,2,1,0,1,"test",12,"","",NA,"","{+}",12,"{+}","bilder/Singer waking Photographer.bmp","bilder/Photographer waking Singer.bmp","Wo ist die Sängerin, die die Fotografin weckt"
"25",1,"6",1,1017,10,1,1,1,"test",13,"","",NA,"","{+}",13,"{+}","bilder/girl helps grandma 2.bmp","bilder/girl helps grandma.bmp","Wo hilft das Mädchen der Großmutter"
"26",1,"6",1,1018,10,1,1,1,"test",14,"","",NA,"","4",14,"4","bilder/grandpa waves chef.bmp","bilder/grandpa waves woman.bmp","Wo grüßt der Großvater den Koch"
"27",1,"6",1,34,2,1,0,1,"test",15,"","",NA,"","{+}",15,"{+}","bilder/Child kissing Nurse.bmp","bilder/Nurse kissing Child.bmp","Wo ist das Kind, das die Krankenschwester küsst"
"28",1,"6",1,26,2,1,0,1,"test",16,"","",NA,"","{+}",16,"{+}","bilder/Doctor combing Witch.bmp","bilder/Witch combing Doctor.bmp","Wo ist die Ärztin, die die Hexe kämmt"
"29",1,"6",1,1019,10,1,1,1,"test",17,"","",NA,"","4",17,"4","bilder/man sleeps.bmp","bilder/man sleeps 2.bmp","Wo schläft der Mann"
"30",1,"6",1,25,2,1,0,1,"test",18,"","",NA,"","4",18,"4","bilder/Painter hugging Queen.bmp","bilder/Queen hugging Painter.bmp","Wo ist die Königin, die die Malerin umarmt"
"31",1,"6",1,20,2,1,0,1,"test",19,"","",NA,"","4",19,"4","bilder/Photographer splashing Ballerina.bmp","bilder/Ballerina splashing Photographer.bmp","Wo ist die Ballerina, die die Fotografin bespritzt"
"32",1,"6",1,1020,10,1,1,1,"test",20,"","",NA,"","{+}",20,"{+}","bilder/grandpa bathing 2.bmp","bilder/grandpa bathing.bmp","Wo badet der Großvater"
"33",1,"6",2,503,1,1,0,1,"test",21,"","",NA,"","4",21,"4","bilder/Queen waking Woman.bmp","bilder/Queen hugging Woman.bmp","Wo ist die Frau, die die Königin weckt?"
"34",1,"6",2,4,2,1,0,1,"test",22,"","",NA,"","{+}",22,"{+}","bilder/Nurse combing Photographer.bmp","bilder/Photographer combing nurse.bmp","Wo ist die Krankenschwester, die die Fotografin kämmt?"
"35",1,"6",2,1013,10,1,1,1,"test",23,"","",NA,"","{+}",23,"{+}","bilder/man cutting cake2.bmp","bilder/man cutting cake.bmp","Wo schneidet der Mann den Kuchen?"
"36",1,"6",2,1008,10,1,1,1,"test",24,"","",NA,"","4",24,"4","bilder/girl tickling boy with feather HA.bmp","bilder/girl talks to boy with tube LA.bmp","Wo kitzelt das Mädchen den Jungen?"
"37",1,"6",2,502,1,1,1,1,"test",25,"","",NA,"","{+}",25,"{+}","bilder/Photographer splashing Granny.bmp","bilder/Photographer hugging Granny.bmp","Wo ist die Großmutter, die die Fotografin umarmt?"
"38",1,"6",2,3,2,1,0,1,"test",26,"","",NA,"","{+}",26,"{+}","bilder/Painter splashing Doctor.bmp","bilder/Doctor splashing painter.bmp","Wo ist die Malerin, die die Ärztin bespritzt?"
"39",1,"6",2,1010,10,1,1,1,"test",27,"","",NA,"","4",27,"4","bilder/grandpa dancing.bmp","bilder/grandpa dancing2.bmp","Wo tanzt der Großvater?"
"40",1,"6",2,504,1,1,0,1,"test",28,"","",NA,"","{+}",28,"{+}","bilder/Nurse kissing Child.bmp","bilder/Nurse splashing Child.bmp","Wo ist das Kind, das die Krankenschwester bespritzt?"
"41",1,"6",2,14,2,1,0,1,"test",29,"","",NA,"","4",29,"4","bilder/Painter pushing Ballerina.bmp","bilder/Ballerina pushing Painter.bmp","Wo ist die Ballerina, die die Malerin schubst?"
"42",1,"6",2,1007,10,1,1,1,"test",30,"","",NA,"","{+}",30,"{+}","bilder/girl riding bike2.bmp","bilder/girl riding bike.bmp","Wo fährt das Mädchen mit dem Fahrrad?"
"43",1,"6",2,506,1,1,0,1,"test",31,"","",NA,"","4",31,"4","bilder/Singer pushing Witch.bmp","bilder/Singer combing Witch.bmp","Wo ist die Hexe, die die Sängerin schubst?"
"44",1,"6",2,13,2,1,0,1,"test",32,"","",NA,"","4",32,"4","bilder/36b.bmp","bilder/36a.bmp","Wo ist die Großmutter, die die Königin küsst?"
"45",1,"6",2,1011,10,1,1,1,"test",33,"","",NA,"","{+}",33,"{+}","bilder/grandpa waving chef2.bmp","bilder/grandpa waving chef.bmp","Wo winkt der Großvater dem Koch?"
"46",1,"6",2,505,1,1,0,1,"test",34,"","",NA,"","{+}",34,"{+}","bilder/Girl waking Painter.bmp","bilder/Girl combing Painter.bmp","Wo ist die Malerin, die das Mädchen kämmt?"
"47",1,"6",2,16,2,1,0,1,"test",35,"","",NA,"","4",35,"4","bilder/49b.bmp","bilder/49a.bmp","Wo ist die Sängerin, die das Kind umarmt?"
"48",1,"6",2,1001,10,1,1,1,"test",36,"","",NA,"","4",36,"4","bilder/boy laughing.bmp","bilder/boy laughing2.bmp","Wo lacht der Junge?"
"49",1,"6",2,501,1,1,0,1,"test",37,"","",NA,"","4",37,"4","bilder/Ballerina kissing Doctor.bmp","bilder/Ballerina pushing Doctor.bmp","Wo ist die Ärztin, die die Ballerina küsst?"
"50",1,"6",2,15,2,1,0,1,"test",38,"","",NA,"","{+}",38,"{+}","bilder/Witch waking Nurse.bmp","bilder/Nurse waking Witch.bmp","Wo ist die Hexe, die die Krankenschwester weckt?"
"51",1,"6",2,1021,10,1,1,1,"test",39,"","",NA,"","4",39,"4","bilder/boy plays with dog.bmp","bilder/boy plays with dog2.bmp","Wo spielt der Junge mit dem Hund"
"52",1,"6",2,507,1,1,1,1,"test",40,"","",NA,"","{+}",40,"{+}","bilder/Painter waking Nurse.bmp","bilder/Painter hugging Nurse.bmp","Wo ist die Krankenschwester, die die Malerin umarmt"
"53",1,"6",2,36,2,1,0,1,"test",41,"","",NA,"","{+}",41,"{+}","bilder/Woman pushing Granny.bmp","bilder/Granny pushing Woman.bmp","Wo ist die Frau, die die Großmutter schubst"
"54",1,"6",2,1032,10,1,1,1,"test",42,"","",NA,"","4",42,"4","bilder/woman cuts cake.bmp","bilder/man cutting cake.bmp","Wo schneidet die Frau den Kuchen?"
"55",1,"6",2,1022,10,1,1,1,"test",43,"","",NA,"","{+}",43,"{+}","bilder/man reads newspaper 2.bmp","bilder/man reads newspaper.bmp","Wo liest der Mann die Zeitung?"
"56",1,"6",2,508,1,1,0,1,"test",44,"","",NA,"","4",44,"4","bilder/Doctor pushing Queen.bmp","bilder/Doctor hugging Queen.bmp","Wo ist die Königin, die die Ärztin schubst"
"57",1,"6",2,29,2,1,0,1,"test",45,"","",NA,"","4",45,"4","bilder/Ballerina waking Girl.bmp","bilder/Girl waking Ballerina.bmp","Wo ist das Mädchen, das die Ballerina weckt"
"58",1,"6",2,1023,10,1,1,1,"test",46,"","",NA,"","{+}",46,"{+}","bilder/doctor talks on phone 2.bmp","bilder/doctor talks on phone.bmp","Wo telefoniert der Doktor"
"59",1,"6",2,509,1,1,0,1,"test",47,"","",NA,"","4",47,"4","bilder/Witch waking Photographer.bmp","bilder/Witch kissing Photographer.bmp","Wo ist die Fotografin, die die Hexe weckt"
"60",1,"6",2,28,2,1,0,1,"test",48,"","",NA,"","4",48,"4","bilder/Woman kissing Nurse.bmp","bilder/Nurse kissing Woman.bmp","Wo ist die Krankenschwester, die die Frau küsst"
"61",1,"6",2,1024,10,1,1,1,"test",49,"","",NA,"","4",49,"4","bilder/grandma with handbag waves man.bmp","bilder/grandma with handbag waves man 2.bmp","Wo ist die Großmutter mit der Handtasche"
"62",1,"6",2,1025,10,1,1,1,"test",50,"","",NA,"","{+}",50,"{+}","bilder/grandpa reads book to boy 2.bmp","bilder/grandpa reads book to boy.bmp","Wo liest der Großvater dem Jungen vor"
"63",1,"6",2,510,1,1,0,1,"test",51,"","",NA,"","{+}",51,"{+}","bilder/Woman combing Ballerina.bmp","bilder/Woman splashing Ballerina.bmp","Wo ist die Ballerina, die die Frau bespritzt"
"64",1,"6",2,19,2,1,0,1,"test",52,"","",NA,"","{+}",52,"{+}","bilder/Doctor hugging Witch.bmp","bilder/Witch hugging doctor.bmp","Wo ist die Ärztin, die die Hexe umarmt"
"65",1,"6",2,1026,10,1,1,1,"test",53,"","",NA,"","{+}",53,"{+}","bilder/woman listens to radio 2.bmp","bilder/woman listens to radio.bmp","Wo hört die Frau Radio"
"66",1,"6",2,511,1,1,0,1,"test",54,"","",NA,"","4",54,"4","bilder/Child kissing Girl.bmp","bilder/Child splashing Girl.bmp","Wo ist das Mädchen, das das Kind küsst"
"67",1,"6",2,24,2,1,0,1,"test",55,"","",NA,"","{+}",55,"{+}","bilder/Singer combing Ballerina.bmp","bilder/Ballerina combing Singer.bmp","Wo ist die Sängerin, die die Ballerina kämmt"
"68",1,"6",2,1027,10,1,1,1,"test",56,"","",NA,"","4",56,"4","bilder/girl prods man with ruler HA.bmp","bilder/girl prods man with ruler LA.bmp","Wo ist das Mädchen mit dem lineal?"
"69",1,"6",2,512,1,1,0,1,"test",57,"","",NA,"","{+}",57,"{+}","bilder/Granny pushing Singer.bmp","bilder/Granny combing Singer.bmp","Wo ist die Sängerin, die die Großmutter kämmt"
"70",1,"6",2,32,2,1,0,1,"test",58,"","",NA,"","4",58,"4","bilder/Singer splashing Photographer.bmp","bilder/Photographer splashing Singer.bmp","Wo ist die Fotografin, die die Sängerin bespritzt"
"71",1,"6",3,1016,10,1,1,1,"test",59,"","",NA,"","4",59,"4","bilder/chef sitting at table.bmp","bilder/chef sitting at table2.bmp","Wo sitzt der Koch am Tisch?"
"72",1,"6",3,8,2,1,0,1,"test",60,"","",NA,"","{+}",60,"{+}","bilder/25a.bmp","bilder/25b.bmp","Wo ist die Sängerin, die das Mädchen bespritzt?"
"73",1,"6",3,17,2,1,0,1,"test",61,"","",NA,"","4",61,"4","bilder/Granny combing Woman.bmp","bilder/Woman combing Granny.bmp","Wo ist die Frau, die die Großmutter kämmt?"
"74",1,"6",3,1002,10,1,1,1,"test",62,"","",NA,"","4",62,"4","bilder/boy eating apple.bmp","bilder/boy eating apple2.bmp","Wo ist der Junge mit dem Apfel?"
"75",1,"6",3,1005,10,1,1,1,"test",63,"","",NA,"","{+}",63,"{+}","bilder/clown purple.bmp","bilder/clown yellow.bmp","Wo ist der Clown mit den gelben Haaren?"
"76",1,"6",3,2,2,1,0,1,"test",64,"","",NA,"","4",64,"4","bilder/Witch kissing Photographer.bmp","bilder/Photographer kissing Witch.bmp","Wo ist die Fotografin, die die Hexe küsst?"
"77",1,"6",3,5,2,1,0,1,"test",65,"","",NA,"","{+}",65,"{+}","bilder/13a.bmp","bilder/13b.bmp","Wo ist das Kind, das die Königin schubst?"
"78",1,"6",3,1009,10,1,1,1,"test",66,"","",NA,"","{+}",66,"{+}","bilder/granny carrying shopping bags2.bmp","bilder/granny carrying shopping bags.bmp","Wo ist die Großmutter mit den Einkaufsbeuteln?"
"79",1,"6",3,12,2,1,0,1,"test",67,"","",NA,"","4",67,"4","bilder/50b.bmp","bilder/50a.bmp","Wo ist die Frau, die das Mädchen umarmt?"
"80",1,"6",3,6,2,1,0,1,"test",68,"","",NA,"","{+}",68,"{+}","bilder/Doctor waking Ballerina.bmp","bilder/Ballerina waking Doctor.bmp","Wo ist die Ärztin, die die Ballerina weckt?"
"81",1,"6",3,1028,10,1,1,1,"test",69,"","",NA,"","4",69,"4","bilder/girl shaking.bmp","bilder/girl shaking 2.bmp","Wo zittert das Mädchen"
"82",1,"6",3,23,2,1,0,1,"test",70,"","",NA,"","{+}",70,"{+}","bilder/Child combing Painter.bmp","bilder/Painter combing Child.bmp","Wo ist das Kind, das die Malerin kämmt"
"83",1,"6",3,33,2,1,0,1,"test",71,"","",NA,"","4",71,"4","bilder/Painter kissing Nurse.bmp","bilder/Nurse kissing Painter.bmp","Wo ist die Krankenschwester, die die Malerin küsst"
"84",1,"6",3,1029,10,1,1,1,"test",72,"","",NA,"","{+}",72,"{+}","bilder/nurse boy.bmp","bilder/nurse talks on phone.bmp","Wo telefoniert die Krankenschwester"
"85",1,"6",3,1030,10,1,1,1,"test",73,"","",NA,"","{+}",73,"{+}","bilder/grandpa talks to granddaughter 2.bmp","bilder/grandpa talks to granddaughter.bmp","Wo spricht der Großvater mit dem Mädchen"
"86",1,"6",3,22,2,1,0,1,"test",74,"","",NA,"","4",74,"4","bilder/Girl pushing granny.bmp","bilder/Granny pushing Girl.bmp","Wo ist die Großmutter, die das Mädchen schubst"
"87",1,"6",3,31,2,1,0,1,"test",75,"","",NA,"","{+}",75,"{+}","bilder/Queen hugging Doctor.bmp","bilder/Doctor hugging Queen.bmp","Wo ist die Königin, die die Ärztin umarmt"
"88",1,"6",3,1031,10,1,1,1,"test",76,"","",NA,"","4",76,"4","bilder/girl drinks.bmp","bilder/girl drinks 2.bmp","Wo trinkt das Mädchen"
"89",1,"6",3,35,2,1,0,1,"test",77,"","",NA,"","4",77,"4","bilder/Child waking Witch.bmp","bilder/Witch waking Child.bmp","Wo ist die Hexe, die das Kind weckt"
"90",1,"6",3,30,2,1,0,1,"test",78,"","",NA,"","{+}",78,"{+}","bilder/Queen splashing Granny.bmp","bilder/Granny splashing Queen.bmp","Wo ist die Königin, die die Großmutter bespritzt"
"103",13,"6",1,18,2,1,0,0,"test",1,"","",NA,"","{+}",1,"{+}","bilder/Witch splashing Woman.bmp","bilder/Woman splashing Witch.bmp","Wo ist die Hexe, die die Frau bespritzt?"
"104",13,"6",1,7,2,1,0,0,"test",2,"","",NA,"","4",2,"4","bilder/21b.bmp","bilder/21a.bmp","Wo ist die Königin, die das Kind kämmt?"
"105",13,"6",1,1003,10,1,1,0,"test",3,"","",NA,"","4",3,"4","bilder/cat chasing cat2.bmp","bilder/cat chasing cat.bmp","Wo jagt der Hund die Katze?"
"106",13,"6",1,9,2,1,0,0,"test",4,"","",NA,"","{+}",4,"{+}","bilder/11a.bmp","bilder/11b.bmp","Wo ist das Mädchen, das die Sängerin küsst?"
"107",13,"6",1,10,2,1,1,0,"test",5,"","",NA,"","4",5,"4","bilder/14b.bmp","bilder/14a.bmp","Wo ist die Fotografin, die die Ärztin schubst?"
"108",13,"6",1,1012,10,1,1,0,"test",6,"","",NA,"","{+}",6,"{+}","bilder/man combing boy2.bmp","bilder/man combing boy.bmp","Wo kämmt der Mann den Jungen?"
"109",13,"6",1,1004,10,1,1,0,"test",7,"","",NA,"","4",7,"4","bilder/chef carrying cake.bmp","bilder/chef carrying cake2.bmp","Wo ist der Koch mit dem Kuchen?"
"110",13,"6",1,1,2,1,0,0,"test",8,"","",NA,"","{+}",8,"{+}","bilder/15a.bmp","bilder/15b.bmp","Wo ist die Krankenschwester, die die Ballerina umarmt?"
"111",13,"6",1,11,2,1,0,0,"test",9,"","",NA,"","4",9,"4","bilder/30b.bmp","bilder/30a.bmp","Wo ist die Malerin, die die Großmutter weckt?"
"112",13,"6",1,1006,10,1,1,0,"test",10,"","",NA,"","{+}",10,"{+}","bilder/girl combing hair2.bmp","bilder/girl combing hair.bmp","Wo kämmt sich das Mädchen die Haare"
"113",13,"6",1,21,2,1,1,0,"test",11,"","",NA,"","4",11,"4","bilder/Girl pushing Woman.bmp","bilder/Woman pushing Girl.bmp","Wo ist die Frau, die das Mädchen schubst"
"114",13,"6",1,27,2,1,0,0,"test",12,"","",NA,"","{+}",12,"{+}","bilder/Singer waking Photographer.bmp","bilder/Photographer waking Singer.bmp","Wo ist die Sängerin, die die Fotografin weckt"
"115",13,"6",1,1017,10,1,1,0,"test",13,"","",NA,"","{+}",13,"{+}","bilder/girl helps grandma 2.bmp","bilder/girl helps grandma.bmp","Wo hilft das Mädchen der Großmutter"
"116",13,"6",1,1018,10,1,1,0,"test",14,"","",NA,"","4",14,"4","bilder/grandpa waves chef.bmp","bilder/grandpa waves woman.bmp","Wo grüßt der Großvater den Koch"
"117",13,"6",1,34,2,1,0,0,"test",15,"","",NA,"","{+}",15,"{+}","bilder/Child kissing Nurse.bmp","bilder/Nurse kissing Child.bmp","Wo ist das Kind, das die Krankenschwester küsst"
"118",13,"6",1,26,2,1,0,0,"test",16,"","",NA,"","{+}",16,"{+}","bilder/Doctor combing Witch.bmp","bilder/Witch combing Doctor.bmp","Wo ist die Ärztin, die die Hexe kämmt"
